Labels	Ex540-Sample-3-Group-A	
Type	Excitation Scan	
Comment		
Start	280.00	
Stop	530.00	
Step	1.00	
Fixed/Offset	540.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	1.00	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.200	
Detector	Visible PMT	

490.00	6.82569125E+5	
491.00	6.64341875E+5	
492.00	6.26066625E+5	
493.00	6.11955938E+5	
494.00	5.81923750E+5	
495.00	5.53063313E+5	
496.00	5.20989031E+5	
497.00	4.95362750E+5	
498.00	4.70086750E+5	
499.00	4.48222063E+5	
500.00	4.21458875E+5	
501.00	3.97046250E+5	
502.00	3.70454750E+5	
503.00	3.48166500E+5	
504.00	3.29024438E+5	
505.00	3.05218156E+5	
506.00	2.82664125E+5	
507.00	2.64172313E+5	
508.00	2.45186031E+5	
509.00	2.24083875E+5	
510.00	2.11554688E+5	
511.00	1.91085328E+5	
512.00	1.78789984E+5	
513.00	1.60923953E+5	
514.00	1.53078688E+5	
515.00	1.33315875E+5	
516.00	1.22706891E+5	
517.00	1.12627461E+5	
518.00	1.01372734E+5	
519.00	8.99077969E+4	
520.00	8.35820625E+4	
521.00	7.26430469E+4	
522.00	6.68358828E+4	
523.00	6.16780547E+4	
524.00	5.70143516E+4	
525.00	4.75814258E+4	
526.00	4.16469609E+4	
527.00	3.85050156E+4	
528.00	3.44562813E+4	
529.00	3.42718789E+4	
530.00	2.77631738E+4	
