Labels	Em450-Sample-2-Group-A	
Type	Emission Scan	
Comment		
Start	460.00	
Stop	750.00	
Step	1.00	
Fixed/Offset	450.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	1.00	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.250	
Detector	Visible PMT	

460.00	1.50256406E+4	
461.00	1.99810566E+4	
462.00	1.79604180E+4	
463.00	2.32532539E+4	
464.00	2.87489980E+4	
465.00	3.51213984E+4	
466.00	4.58945859E+4	
467.00	4.94870625E+4	
468.00	7.12746953E+4	
469.00	7.96242969E+4	
470.00	9.09579609E+4	
471.00	1.17246578E+5	
472.00	1.34936219E+5	
473.00	1.64186031E+5	
474.00	1.97266625E+5	
475.00	2.23488609E+5	
476.00	2.61042125E+5	
477.00	3.32721500E+5	
478.00	3.76138813E+5	
479.00	4.38227000E+5	
480.00	4.96804375E+5	
481.00	6.01265625E+5	
482.00	6.76543625E+5	
483.00	7.96529938E+5	
484.00	9.65513750E+5	
485.00	1.08416025E+6	
486.00	1.28122175E+6	
487.00	1.43322325E+6	
488.00	1.66124350E+6	
489.00	1.88274863E+6	
490.00	2.18174850E+6	
491.00	2.40675050E+6	
492.00	2.76117000E+6	
493.00	3.07631450E+6	
494.00	3.46728175E+6	
495.00	3.86411800E+6	
496.00	4.28566600E+6	
497.00	4.82618800E+6	
498.00	5.30220400E+6	
499.00	5.71555800E+6	
500.00	6.45557300E+6	
501.00	7.07186750E+6	
502.00	7.71918200E+6	
503.00	8.45129200E+6	
504.00	9.14708400E+6	
505.00	1.00389820E+7	
506.00	1.06579640E+7	
507.00	1.13897050E+7	
508.00	1.22753930E+7	
509.00	1.31896000E+7	
510.00	1.40241760E+7	
511.00	1.48137060E+7	
512.00	1.56783360E+7	
513.00	1.67016120E+7	
514.00	1.74179520E+7	
515.00	1.84007060E+7	
516.00	1.92422900E+7	
517.00	2.00762560E+7	
518.00	2.08796420E+7	
519.00	2.15888820E+7	
520.00	2.23083500E+7	
521.00	2.32307400E+7	
522.00	2.37051040E+7	
523.00	2.42782040E+7	
524.00	2.49946380E+7	
525.00	2.53629760E+7	
526.00	2.55607920E+7	
527.00	2.59392740E+7	
528.00	2.62573200E+7	
529.00	2.68903280E+7	
530.00	2.72119320E+7	
531.00	2.76106160E+7	
532.00	2.76962460E+7	
533.00	2.79207140E+7	
534.00	2.83599240E+7	
535.00	2.85993840E+7	
536.00	2.87858200E+7	
537.00	2.87434280E+7	
538.00	2.86945440E+7	
539.00	2.88586200E+7	
540.00	2.89356400E+7	
541.00	2.88229920E+7	
542.00	2.89236200E+7	
543.00	2.91637600E+7	
544.00	2.93174480E+7	
545.00	2.92821780E+7	
546.00	2.93069840E+7	
547.00	2.88969600E+7	
548.00	2.90256400E+7	
549.00	2.91595940E+7	
550.00	2.92117840E+7	
551.00	2.93476080E+7	
552.00	2.92351560E+7	
553.00	2.91365520E+7	
554.00	2.92743840E+7	
555.00	2.89034260E+7	
556.00	2.92509020E+7	
557.00	2.88465460E+7	
558.00	2.90616000E+7	
559.00	2.87251360E+7	
560.00	2.86111780E+7	
561.00	2.85447200E+7	
562.00	2.85181340E+7	
563.00	2.84601000E+7	
564.00	2.84526720E+7	
565.00	2.84514400E+7	
566.00	2.83169600E+7	
567.00	2.81620560E+7	
568.00	2.81922340E+7	
569.00	2.79264320E+7	
570.00	2.80946160E+7	
571.00	2.78270840E+7	
572.00	2.74826120E+7	
573.00	2.72808280E+7	
574.00	2.71443280E+7	
575.00	2.72634600E+7	
576.00	2.70557640E+7	
577.00	2.69330960E+7	
578.00	2.68538840E+7	
579.00	2.64866140E+7	
580.00	2.63922840E+7	
581.00	2.63391360E+7	
582.00	2.61075960E+7	
583.00	2.59453680E+7	
584.00	2.59708440E+7	
585.00	2.56961540E+7	
586.00	2.54448460E+7	
587.00	2.51400280E+7	
588.00	2.49382820E+7	
589.00	2.47175060E+7	
590.00	2.43960520E+7	
591.00	2.41987800E+7	
592.00	2.34672500E+7	
593.00	2.36993820E+7	
594.00	2.32541500E+7	
595.00	2.28655480E+7	
596.00	2.28170900E+7	
597.00	2.27346380E+7	
598.00	2.24241600E+7	
599.00	2.21600360E+7	
600.00	2.18642440E+7	
601.00	2.17968520E+7	
602.00	2.12591380E+7	
603.00	2.09701400E+7	
604.00	2.07446500E+7	
605.00	2.00249640E+7	
606.00	2.00219680E+7	
607.00	1.96022100E+7	
608.00	1.94921900E+7	
609.00	1.91525000E+7	
610.00	1.89398460E+7	
611.00	1.83143040E+7	
612.00	1.78993440E+7	
613.00	1.75668480E+7	
614.00	1.75296860E+7	
615.00	1.71607660E+7	
616.00	1.67260550E+7	
617.00	1.62814490E+7	
618.00	1.62234080E+7	
619.00	1.58308320E+7	
620.00	1.50164560E+7	
621.00	1.49665160E+7	
622.00	1.46839540E+7	
623.00	1.44145390E+7	
624.00	1.40899680E+7	
625.00	1.37931580E+7	
626.00	1.33720040E+7	
627.00	1.33589920E+7	
628.00	1.29322680E+7	
629.00	1.29448620E+7	
630.00	1.24550420E+7	
631.00	1.22672250E+7	
632.00	1.19331280E+7	
633.00	1.17910200E+7	
634.00	1.14422630E+7	
635.00	1.12608640E+7	
636.00	1.11141940E+7	
637.00	1.07085670E+7	
638.00	1.04082140E+7	
639.00	1.00932410E+7	
640.00	1.00687020E+7	
641.00	9.73199200E+6	
642.00	9.61982300E+6	
643.00	9.16871100E+6	
644.00	8.92135700E+6	
645.00	8.80268900E+6	
646.00	8.71985600E+6	
647.00	8.45690200E+6	
648.00	8.13575950E+6	
649.00	7.94808500E+6	
650.00	7.98807550E+6	
651.00	7.77858200E+6	
652.00	7.65304350E+6	
653.00	7.31452300E+6	
654.00	7.33926500E+6	
655.00	7.04545050E+6	
656.00	6.89133500E+6	
657.00	6.75176650E+6	
658.00	6.62007600E+6	
659.00	6.42257700E+6	
660.00	6.22990350E+6	
661.00	5.98326300E+6	
662.00	5.65704600E+6	
663.00	5.53097700E+6	
664.00	5.42873500E+6	
665.00	5.34226000E+6	
666.00	5.24659800E+6	
667.00	5.18603100E+6	
668.00	4.96849250E+6	
669.00	4.82897500E+6	
670.00	4.72310050E+6	
671.00	4.77996200E+6	
672.00	4.30084300E+6	
673.00	4.62806000E+6	
674.00	4.31824900E+6	
675.00	4.28416650E+6	
676.00	4.05973300E+6	
677.00	4.18697250E+6	
678.00	3.84787925E+6	
679.00	3.69318300E+6	
680.00	3.82606250E+6	
681.00	3.56760525E+6	
682.00	3.53744600E+6	
683.00	3.57944700E+6	
684.00	3.30992650E+6	
685.00	3.37480550E+6	
686.00	3.32623550E+6	
687.00	3.21139075E+6	
688.00	3.10902750E+6	
689.00	3.10751600E+6	
690.00	2.89964200E+6	
691.00	2.76020100E+6	
692.00	2.69807000E+6	
693.00	2.66543050E+6	
694.00	2.70457650E+6	
695.00	2.42373700E+6	
696.00	2.47792800E+6	
697.00	2.51250925E+6	
698.00	2.36418300E+6	
699.00	2.39303600E+6	
700.00	2.32344000E+6	
701.00	2.13893375E+6	
702.00	2.17904800E+6	
703.00	2.16993350E+6	
704.00	2.00924850E+6	
705.00	2.11057700E+6	
706.00	2.18342200E+6	
707.00	2.07449325E+6	
708.00	2.02462450E+6	
709.00	1.86679275E+6	
710.00	1.91659138E+6	
711.00	1.91508550E+6	
712.00	1.56241588E+6	
713.00	1.66558100E+6	
714.00	1.54648975E+6	
715.00	1.51500750E+6	
716.00	1.31473075E+6	
717.00	1.36995500E+6	
718.00	1.27190875E+6	
719.00	1.29528250E+6	
720.00	1.18955275E+6	
721.00	1.28230875E+6	
722.00	1.36447275E+6	
723.00	1.17352875E+6	
724.00	1.19938650E+6	
725.00	1.04847106E+6	
726.00	1.08731488E+6	
727.00	9.33935125E+5	
728.00	1.08966838E+6	
729.00	9.51261750E+5	
730.00	9.42253375E+5	
731.00	1.14570350E+6	
732.00	8.63627000E+5	
733.00	9.10245625E+5	
734.00	9.97972250E+5	
735.00	9.71640250E+5	
736.00	8.41502000E+5	
737.00	7.02929000E+5	
738.00	7.35170125E+5	
739.00	7.44899750E+5	
740.00	7.88333188E+5	
741.00	7.58179750E+5	
742.00	7.36071250E+5	
743.00	6.79993375E+5	
744.00	6.82141438E+5	
745.00	6.95895875E+5	
746.00	8.58363438E+5	
747.00	5.89593875E+5	
748.00	7.92205688E+5	
749.00	5.51336875E+5	
750.00	6.39794938E+5	
