Labels	Em550-Sample-1-Group-A	
Type	Excitation Scan	
Comment		
Start	280.00	
Stop	530.00	
Step	1.00	
Fixed/Offset	550.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.19999765	
Detector	Visible PMT	

489.00	8.20064000E+5	
490.00	8.06215375E+5	
491.00	7.98706313E+5	
492.00	7.79261000E+5	
493.00	7.74058625E+5	
494.00	7.55969813E+5	
495.00	7.53621875E+5	
496.00	7.36176375E+5	
497.00	7.30954125E+5	
498.00	7.07550500E+5	
499.00	6.94421875E+5	
500.00	6.77666375E+5	
501.00	6.53187688E+5	
502.00	6.34352625E+5	
503.00	6.36629750E+5	
504.00	5.99125438E+5	
505.00	5.84935250E+5	
506.00	5.60904750E+5	
507.00	5.40043500E+5	
508.00	5.24612500E+5	
509.00	5.00456656E+5	
510.00	4.74800688E+5	
511.00	4.62889500E+5	
512.00	4.40791000E+5	
513.00	4.22749250E+5	
514.00	3.99887125E+5	
515.00	3.68998438E+5	
516.00	3.50869125E+5	
517.00	3.29368875E+5	
518.00	3.05749250E+5	
519.00	2.88191375E+5	
520.00	2.71033781E+5	
521.00	2.56691594E+5	
522.00	2.30719313E+5	
523.00	2.16692141E+5	
524.00	1.90247172E+5	
525.00	1.75090313E+5	
526.00	1.57815969E+5	
527.00	1.50718891E+5	
528.00	1.35915297E+5	
529.00	1.16259813E+5	
530.00	1.09530359E+5	
