Labels	Em450-Sample-5-Group-A	
Type	Emission Scan	
Comment		
Start	460.00	
Stop	750.00	
Step	1.00	
Fixed/Offset	450.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.25000927	
Detector	Visible PMT	

460.00	6.31593375E+5	
461.00	7.21715500E+5	
462.00	8.40692250E+5	
463.00	1.01438319E+6	
464.00	1.19743913E+6	
465.00	1.37897238E+6	
466.00	1.59861588E+6	
467.00	1.85136775E+6	
468.00	2.15590375E+6	
469.00	2.43998575E+6	
470.00	2.84388675E+6	
471.00	3.22027800E+6	
472.00	3.72631600E+6	
473.00	4.16181925E+6	
474.00	4.79021300E+6	
475.00	5.33544150E+6	
476.00	5.93052700E+6	
477.00	6.62562850E+6	
478.00	7.35785350E+6	
479.00	8.15021500E+6	
480.00	8.90798000E+6	
481.00	9.79111800E+6	
482.00	1.07395180E+7	
483.00	1.17755960E+7	
484.00	1.26037340E+7	
485.00	1.37443580E+7	
486.00	1.49267260E+7	
487.00	1.58925800E+7	
488.00	1.70729220E+7	
489.00	1.81602440E+7	
490.00	1.92901120E+7	
491.00	2.04131080E+7	
492.00	2.13467280E+7	
493.00	2.22913680E+7	
494.00	2.31576820E+7	
495.00	2.42272040E+7	
496.00	2.49240180E+7	
497.00	2.60214100E+7	
498.00	2.68742480E+7	
499.00	2.77099580E+7	
500.00	2.84407240E+7	
501.00	2.90198880E+7	
502.00	2.97747440E+7	
503.00	3.01941920E+7	
504.00	3.09752040E+7	
505.00	3.14099040E+7	
506.00	3.19061580E+7	
507.00	3.22895960E+7	
508.00	3.26906260E+7	
509.00	3.29522720E+7	
510.00	3.32886720E+7	
511.00	3.35465160E+7	
512.00	3.38141040E+7	
513.00	3.38623520E+7	
514.00	3.40940160E+7	
515.00	3.41039280E+7	
516.00	3.43186320E+7	
517.00	3.46120160E+7	
518.00	3.47783280E+7	
519.00	3.49318480E+7	
520.00	3.50673040E+7	
521.00	3.49896720E+7	
522.00	3.48330960E+7	
523.00	3.51781760E+7	
524.00	3.49327680E+7	
525.00	3.49255080E+7	
526.00	3.47280720E+7	
527.00	3.46379280E+7	
528.00	3.47240320E+7	
529.00	3.42933840E+7	
530.00	3.44663200E+7	
531.00	3.45900240E+7	
532.00	3.45994560E+7	
533.00	3.46917960E+7	
534.00	3.44899200E+7	
535.00	3.43805120E+7	
536.00	3.43301200E+7	
537.00	3.41534160E+7	
538.00	3.43158800E+7	
539.00	3.42955680E+7	
540.00	3.39554720E+7	
541.00	3.40520640E+7	
542.00	3.40809600E+7	
543.00	3.40754760E+7	
544.00	3.40706480E+7	
545.00	3.39901400E+7	
546.00	3.38266880E+7	
547.00	3.35154320E+7	
548.00	3.33267620E+7	
549.00	3.33953780E+7	
550.00	3.30972520E+7	
551.00	3.31564720E+7	
552.00	3.25180120E+7	
553.00	3.26914160E+7	
554.00	3.22096220E+7	
555.00	3.19678520E+7	
556.00	3.18019120E+7	
557.00	3.11640220E+7	
558.00	3.13285560E+7	
559.00	3.05318560E+7	
560.00	3.02465400E+7	
561.00	2.99525360E+7	
562.00	2.98415600E+7	
563.00	2.94564900E+7	
564.00	2.91067500E+7	
565.00	2.85156300E+7	
566.00	2.83397480E+7	
567.00	2.79160880E+7	
568.00	2.77457560E+7	
569.00	2.71127480E+7	
570.00	2.68031600E+7	
571.00	2.65489860E+7	
572.00	2.61435760E+7	
573.00	2.55688860E+7	
574.00	2.50989580E+7	
575.00	2.46232580E+7	
576.00	2.41797320E+7	
577.00	2.39360700E+7	
578.00	2.33404520E+7	
579.00	2.30688880E+7	
580.00	2.24823080E+7	
581.00	2.19240780E+7	
582.00	2.16723840E+7	
583.00	2.12890040E+7	
584.00	2.06953360E+7	
585.00	2.02991040E+7	
586.00	1.98514920E+7	
587.00	1.95513640E+7	
588.00	1.91868560E+7	
589.00	1.86245760E+7	
590.00	1.82016160E+7	
591.00	1.80460600E+7	
592.00	1.74050320E+7	
593.00	1.70450780E+7	
594.00	1.66357690E+7	
595.00	1.61612900E+7	
596.00	1.57832240E+7	
597.00	1.53312120E+7	
598.00	1.46526700E+7	
599.00	1.44780780E+7	
600.00	1.43933030E+7	
601.00	1.38232130E+7	
602.00	1.35866830E+7	
603.00	1.31708430E+7	
604.00	1.27467670E+7	
605.00	1.24836140E+7	
606.00	1.21991800E+7	
607.00	1.19562240E+7	
608.00	1.15476720E+7	
609.00	1.12643730E+7	
610.00	1.09645420E+7	
611.00	1.08061910E+7	
612.00	1.03947030E+7	
613.00	1.01350420E+7	
614.00	9.80415000E+6	
615.00	9.47328200E+6	
616.00	9.17523600E+6	
617.00	9.02895200E+6	
618.00	8.75249000E+6	
619.00	8.38673350E+6	
620.00	7.91834800E+6	
621.00	7.89184800E+6	
622.00	7.58842500E+6	
623.00	7.26886000E+6	
624.00	7.24523400E+6	
625.00	7.04265400E+6	
626.00	6.94473500E+6	
627.00	6.61454250E+6	
628.00	6.40021900E+6	
629.00	6.21773900E+6	
630.00	5.98472850E+6	
631.00	5.75369350E+6	
632.00	5.62729800E+6	
633.00	5.54738700E+6	
634.00	5.27049000E+6	
635.00	5.22153400E+6	
636.00	4.93069300E+6	
637.00	4.85859300E+6	
638.00	4.70206300E+6	
639.00	4.56562500E+6	
640.00	4.29965550E+6	
641.00	4.24028200E+6	
642.00	4.19821500E+6	
643.00	4.18373350E+6	
644.00	3.88192675E+6	
645.00	3.79807950E+6	
646.00	3.82389550E+6	
647.00	3.59191000E+6	
648.00	3.49132700E+6	
649.00	3.42880000E+6	
650.00	3.13351400E+6	
651.00	3.23077400E+6	
652.00	3.08903700E+6	
653.00	2.97570500E+6	
654.00	2.96755325E+6	
655.00	2.77977550E+6	
656.00	2.70307400E+6	
657.00	2.73727650E+6	
658.00	2.76436800E+6	
659.00	2.58422425E+6	
660.00	2.46611250E+6	
661.00	2.49827300E+6	
662.00	2.32224600E+6	
663.00	2.33456200E+6	
664.00	2.16256250E+6	
665.00	2.06409325E+6	
666.00	2.01634900E+6	
667.00	1.98572100E+6	
668.00	1.91742400E+6	
669.00	1.91368450E+6	
670.00	1.98496025E+6	
671.00	1.85453588E+6	
672.00	1.87747100E+6	
673.00	1.84554175E+6	
674.00	1.67026050E+6	
675.00	1.64398975E+6	
676.00	1.65430800E+6	
677.00	1.41753000E+6	
678.00	1.42321425E+6	
679.00	1.46173313E+6	
680.00	1.41970125E+6	
681.00	1.37983150E+6	
682.00	1.42213125E+6	
683.00	1.35998500E+6	
684.00	1.19312225E+6	
685.00	1.22247975E+6	
686.00	1.19574625E+6	
687.00	1.43766550E+6	
688.00	1.45926425E+6	
689.00	1.32654200E+6	
690.00	1.02842700E+6	
691.00	1.15032488E+6	
692.00	1.06841688E+6	
693.00	1.04260213E+6	
694.00	1.04711738E+6	
695.00	1.00089500E+6	
696.00	9.87455500E+5	
697.00	1.02308888E+6	
698.00	8.68751500E+5	
699.00	9.78289938E+5	
700.00	1.20154350E+6	
701.00	9.08669875E+5	
702.00	9.48437875E+5	
703.00	1.11103688E+6	
704.00	1.16950238E+6	
705.00	1.05514025E+6	
706.00	9.32952625E+5	
707.00	1.03772613E+6	
708.00	8.55492375E+5	
709.00	8.98789625E+5	
710.00	7.70584375E+5	
711.00	7.97676438E+5	
712.00	7.34424000E+5	
713.00	5.91067375E+5	
714.00	5.49035375E+5	
715.00	6.05459750E+5	
716.00	5.97068750E+5	
717.00	5.90576250E+5	
718.00	6.15483750E+5	
719.00	5.77267063E+5	
720.00	5.61982625E+5	
721.00	5.55970438E+5	
722.00	5.87393313E+5	
723.00	4.99595875E+5	
724.00	5.32335000E+5	
725.00	5.81961438E+5	
726.00	5.62395750E+5	
727.00	4.67222875E+5	
728.00	5.34292500E+5	
729.00	3.79571781E+5	
730.00	4.07187656E+5	
731.00	3.69816406E+5	
732.00	3.57673375E+5	
733.00	5.35282000E+5	
734.00	4.32631625E+5	
735.00	4.15107031E+5	
736.00	3.63862281E+5	
737.00	3.27462250E+5	
738.00	3.11866938E+5	
739.00	3.85253313E+5	
740.00	2.26208438E+5	
741.00	3.41801688E+5	
742.00	3.23246250E+5	
743.00	1.84576734E+5	
744.00	1.69232063E+5	
745.00	1.85392125E+5	
746.00	3.38997031E+5	
747.00	1.20235898E+5	
748.00	1.84514797E+5	
749.00	1.59859156E+5	
750.00	3.05053375E+5	
