Labels	Em450-Sample-4-Group-A	
Type	Emission Scan	
Comment		
Start	460.00	
Stop	750.00	
Step	1.00	
Fixed/Offset	450.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.25000927	
Detector	Visible PMT	

460.00	9.59215938E+4	
461.00	1.22226609E+5	
462.00	1.40749125E+5	
463.00	1.70399000E+5	
464.00	2.16161719E+5	
465.00	2.43285000E+5	
466.00	2.93424188E+5	
467.00	3.52519250E+5	
468.00	4.15093813E+5	
469.00	4.92716188E+5	
470.00	5.88844375E+5	
471.00	6.78515000E+5	
472.00	8.17500438E+5	
473.00	9.73349063E+5	
474.00	1.11668463E+6	
475.00	1.28003000E+6	
476.00	1.49156800E+6	
477.00	1.74520088E+6	
478.00	1.96249838E+6	
479.00	2.27921825E+6	
480.00	2.57643100E+6	
481.00	2.98302100E+6	
482.00	3.37193200E+6	
483.00	3.80179000E+6	
484.00	4.27656600E+6	
485.00	4.78201000E+6	
486.00	5.26830850E+6	
487.00	6.02075600E+6	
488.00	6.52335500E+6	
489.00	7.28492900E+6	
490.00	8.13533000E+6	
491.00	8.86887800E+6	
492.00	9.64002600E+6	
493.00	1.05084360E+7	
494.00	1.14256860E+7	
495.00	1.22322120E+7	
496.00	1.32672620E+7	
497.00	1.40377850E+7	
498.00	1.52338940E+7	
499.00	1.60921180E+7	
500.00	1.71947840E+7	
501.00	1.82134880E+7	
502.00	1.90897500E+7	
503.00	2.00451120E+7	
504.00	2.10320040E+7	
505.00	2.18356440E+7	
506.00	2.30446880E+7	
507.00	2.36402960E+7	
508.00	2.45403040E+7	
509.00	2.53685320E+7	
510.00	2.63015480E+7	
511.00	2.70539400E+7	
512.00	2.75268840E+7	
513.00	2.83710440E+7	
514.00	2.87376440E+7	
515.00	2.93498420E+7	
516.00	2.97088920E+7	
517.00	3.05652120E+7	
518.00	3.07568920E+7	
519.00	3.10397840E+7	
520.00	3.18090620E+7	
521.00	3.18762240E+7	
522.00	3.22409640E+7	
523.00	3.24766260E+7	
524.00	3.23935160E+7	
525.00	3.25387820E+7	
526.00	3.24772420E+7	
527.00	3.26355960E+7	
528.00	3.29606760E+7	
529.00	3.29411520E+7	
530.00	3.28140620E+7	
531.00	3.28675560E+7	
532.00	3.27521920E+7	
533.00	3.30350000E+7	
534.00	3.28960340E+7	
535.00	3.28068560E+7	
536.00	3.28728000E+7	
537.00	3.26487120E+7	
538.00	3.29268560E+7	
539.00	3.25167140E+7	
540.00	3.29949200E+7	
541.00	3.30013180E+7	
542.00	3.29970200E+7	
543.00	3.31357920E+7	
544.00	3.30408100E+7	
545.00	3.29050600E+7	
546.00	3.29025320E+7	
547.00	3.27387720E+7	
548.00	3.26286100E+7	
549.00	3.26785920E+7	
550.00	3.26200260E+7	
551.00	3.26763040E+7	
552.00	3.29117600E+7	
553.00	3.25939960E+7	
554.00	3.21970940E+7	
555.00	3.23234880E+7	
556.00	3.20118200E+7	
557.00	3.18673640E+7	
558.00	3.20466900E+7	
559.00	3.16112800E+7	
560.00	3.16882720E+7	
561.00	3.12404300E+7	
562.00	3.11353240E+7	
563.00	3.08699920E+7	
564.00	3.08297160E+7	
565.00	3.05169600E+7	
566.00	3.01550680E+7	
567.00	3.02601280E+7	
568.00	3.00117240E+7	
569.00	2.97104480E+7	
570.00	2.94281600E+7	
571.00	2.90665200E+7	
572.00	2.84554480E+7	
573.00	2.83255240E+7	
574.00	2.81236240E+7	
575.00	2.79608340E+7	
576.00	2.76579060E+7	
577.00	2.72541620E+7	
578.00	2.68246500E+7	
579.00	2.66382220E+7	
580.00	2.60436240E+7	
581.00	2.58983560E+7	
582.00	2.55292360E+7	
583.00	2.55561660E+7	
584.00	2.50922560E+7	
585.00	2.47045580E+7	
586.00	2.46354880E+7	
587.00	2.42204420E+7	
588.00	2.34448940E+7	
589.00	2.32903440E+7	
590.00	2.28709200E+7	
591.00	2.24536840E+7	
592.00	2.20723920E+7	
593.00	2.17846440E+7	
594.00	2.12243780E+7	
595.00	2.10063980E+7	
596.00	2.05239880E+7	
597.00	2.03721040E+7	
598.00	1.94926080E+7	
599.00	1.92721360E+7	
600.00	1.88612880E+7	
601.00	1.86035680E+7	
602.00	1.83460740E+7	
603.00	1.79448140E+7	
604.00	1.76088540E+7	
605.00	1.72560560E+7	
606.00	1.66524720E+7	
607.00	1.66551480E+7	
608.00	1.60499640E+7	
609.00	1.57963920E+7	
610.00	1.54035920E+7	
611.00	1.50354530E+7	
612.00	1.46113520E+7	
613.00	1.42854490E+7	
614.00	1.38908560E+7	
615.00	1.36778560E+7	
616.00	1.34208120E+7	
617.00	1.29720020E+7	
618.00	1.27461870E+7	
619.00	1.22281160E+7	
620.00	1.18300420E+7	
621.00	1.13944960E+7	
622.00	1.08701760E+7	
623.00	1.07619460E+7	
624.00	1.05740130E+7	
625.00	1.04152540E+7	
626.00	1.02181520E+7	
627.00	9.93918000E+6	
628.00	9.71108000E+6	
629.00	9.28748400E+6	
630.00	9.06540200E+6	
631.00	8.72917400E+6	
632.00	8.79865600E+6	
633.00	8.59941300E+6	
634.00	8.18144200E+6	
635.00	7.72729500E+6	
636.00	7.58410300E+6	
637.00	7.46390850E+6	
638.00	7.34139350E+6	
639.00	7.14519200E+6	
640.00	6.87498300E+6	
641.00	6.76959050E+6	
642.00	6.50028700E+6	
643.00	6.45940100E+6	
644.00	6.44687600E+6	
645.00	6.15223650E+6	
646.00	5.77932100E+6	
647.00	5.74185050E+6	
648.00	5.48386850E+6	
649.00	5.43593850E+6	
650.00	5.19231400E+6	
651.00	5.11686150E+6	
652.00	4.85014600E+6	
653.00	4.92544200E+6	
654.00	4.71406900E+6	
655.00	4.51291300E+6	
656.00	4.27564000E+6	
657.00	4.31807900E+6	
658.00	4.14767650E+6	
659.00	3.96494400E+6	
660.00	3.97699600E+6	
661.00	3.71365700E+6	
662.00	3.72626125E+6	
663.00	3.79790600E+6	
664.00	3.62010700E+6	
665.00	3.51194200E+6	
666.00	3.24711750E+6	
667.00	3.24777650E+6	
668.00	3.33330500E+6	
669.00	3.21032650E+6	
670.00	2.99165750E+6	
671.00	2.90259900E+6	
672.00	2.68885300E+6	
673.00	2.71464700E+6	
674.00	2.68225825E+6	
675.00	2.63831050E+6	
676.00	2.71107425E+6	
677.00	2.53266450E+6	
678.00	2.33274450E+6	
679.00	2.28224950E+6	
680.00	2.27564950E+6	
681.00	2.15676050E+6	
682.00	2.04093800E+6	
683.00	2.14233500E+6	
684.00	1.95774325E+6	
685.00	1.99863950E+6	
686.00	1.69002200E+6	
687.00	2.01697388E+6	
688.00	2.05143700E+6	
689.00	1.62563350E+6	
690.00	1.76921200E+6	
691.00	1.57323600E+6	
692.00	1.54706225E+6	
693.00	1.58060825E+6	
694.00	1.66095938E+6	
695.00	1.41189900E+6	
696.00	1.50279450E+6	
697.00	1.51334413E+6	
698.00	1.40196425E+6	
699.00	1.35860850E+6	
700.00	1.24788625E+6	
701.00	1.38662550E+6	
702.00	1.22731100E+6	
703.00	1.31582825E+6	
704.00	1.21720100E+6	
705.00	1.37001188E+6	
706.00	1.25441200E+6	
707.00	1.06642250E+6	
708.00	1.06493900E+6	
709.00	1.07393950E+6	
710.00	1.05558625E+6	
711.00	1.13732863E+6	
712.00	1.00060888E+6	
713.00	9.97359125E+5	
714.00	8.19167938E+5	
715.00	8.37859188E+5	
716.00	7.73986625E+5	
717.00	7.15747875E+5	
718.00	6.52746250E+5	
719.00	7.11999000E+5	
720.00	6.50562250E+5	
721.00	9.01192875E+5	
722.00	8.04717375E+5	
723.00	7.31511000E+5	
724.00	5.71692875E+5	
725.00	6.43553688E+5	
726.00	6.43428125E+5	
727.00	6.10133063E+5	
728.00	5.68881750E+5	
729.00	6.33274750E+5	
730.00	5.13422281E+5	
731.00	3.66650500E+5	
732.00	5.21480531E+5	
733.00	5.71018813E+5	
734.00	4.22240094E+5	
735.00	4.65670500E+5	
736.00	4.00981313E+5	
737.00	4.67454969E+5	
738.00	2.53446906E+5	
739.00	2.83569563E+5	
740.00	3.45413781E+5	
741.00	4.12995313E+5	
742.00	2.17022359E+5	
743.00	2.22020875E+5	
744.00	2.71437063E+5	
745.00	2.62919500E+5	
746.00	2.91299594E+5	
747.00	2.82035188E+5	
748.00	2.43000031E+5	
749.00	2.69650656E+5	
750.00	1.11613039E+5	
