Labels	Em450-Sample-3-Group-A	
Type	Emission Scan	
Comment		
Start	460.00	
Stop	750.00	
Step	1.00	
Fixed/Offset	450.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	1.00	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.250	
Detector	Visible PMT	

460.00	8.98084297E+4	
461.00	1.01414750E+5	
462.00	1.33331078E+5	
463.00	1.42594938E+5	
464.00	1.66081063E+5	
465.00	2.27039703E+5	
466.00	2.36932563E+5	
467.00	2.86739531E+5	
468.00	3.47466125E+5	
469.00	4.11549250E+5	
470.00	4.84152406E+5	
471.00	5.35304688E+5	
472.00	6.37141375E+5	
473.00	7.45058375E+5	
474.00	8.59078000E+5	
475.00	1.01581813E+6	
476.00	1.16032050E+6	
477.00	1.30591838E+6	
478.00	1.52280900E+6	
479.00	1.75666250E+6	
480.00	1.95909650E+6	
481.00	2.26956200E+6	
482.00	2.56535200E+6	
483.00	2.86450500E+6	
484.00	3.26957950E+6	
485.00	3.71051900E+6	
486.00	4.13930475E+6	
487.00	4.56900800E+6	
488.00	5.14853600E+6	
489.00	5.71252800E+6	
490.00	6.21314900E+6	
491.00	6.94361950E+6	
492.00	7.51033800E+6	
493.00	8.28686100E+6	
494.00	8.94770200E+6	
495.00	9.72169700E+6	
496.00	1.04485620E+7	
497.00	1.12732440E+7	
498.00	1.21265240E+7	
499.00	1.30180670E+7	
500.00	1.37703620E+7	
501.00	1.47758830E+7	
502.00	1.56162220E+7	
503.00	1.63272980E+7	
504.00	1.74322480E+7	
505.00	1.81599380E+7	
506.00	1.91968000E+7	
507.00	2.02003360E+7	
508.00	2.10057840E+7	
509.00	2.18881580E+7	
510.00	2.24849680E+7	
511.00	2.33847520E+7	
512.00	2.41540160E+7	
513.00	2.49561240E+7	
514.00	2.54610700E+7	
515.00	2.60880760E+7	
516.00	2.69420000E+7	
517.00	2.74310320E+7	
518.00	2.82367360E+7	
519.00	2.87250180E+7	
520.00	2.93121480E+7	
521.00	2.96489680E+7	
522.00	3.02081220E+7	
523.00	3.04273840E+7	
524.00	3.07950380E+7	
525.00	3.11786600E+7	
526.00	3.11057520E+7	
527.00	3.11372380E+7	
528.00	3.15640900E+7	
529.00	3.17601240E+7	
530.00	3.15409640E+7	
531.00	3.21093880E+7	
532.00	3.21799920E+7	
533.00	3.23399980E+7	
534.00	3.22964040E+7	
535.00	3.22850640E+7	
536.00	3.26261640E+7	
537.00	3.25627680E+7	
538.00	3.24175600E+7	
539.00	3.24425600E+7	
540.00	3.24757600E+7	
541.00	3.27110840E+7	
542.00	3.25139360E+7	
543.00	3.27362200E+7	
544.00	3.24592720E+7	
545.00	3.24948860E+7	
546.00	3.27947440E+7	
547.00	3.26713880E+7	
548.00	3.25841220E+7	
549.00	3.23860680E+7	
550.00	3.24671520E+7	
551.00	3.24438200E+7	
552.00	3.20996040E+7	
553.00	3.22047000E+7	
554.00	3.22218580E+7	
555.00	3.17036200E+7	
556.00	3.18060560E+7	
557.00	3.17712920E+7	
558.00	3.15670000E+7	
559.00	3.19311200E+7	
560.00	3.14330480E+7	
561.00	3.15669480E+7	
562.00	3.14539080E+7	
563.00	3.08964680E+7	
564.00	3.08811600E+7	
565.00	3.04994600E+7	
566.00	3.07901600E+7	
567.00	3.07876440E+7	
568.00	3.01964100E+7	
569.00	3.01144000E+7	
570.00	2.97991380E+7	
571.00	2.97501440E+7	
572.00	2.99142280E+7	
573.00	2.94394060E+7	
574.00	2.92164300E+7	
575.00	2.90371980E+7	
576.00	2.86650440E+7	
577.00	2.84677240E+7	
578.00	2.83007900E+7	
579.00	2.78906040E+7	
580.00	2.77562600E+7	
581.00	2.75443720E+7	
582.00	2.72501360E+7	
583.00	2.69620160E+7	
584.00	2.64585920E+7	
585.00	2.63679040E+7	
586.00	2.60701120E+7	
587.00	2.56961900E+7	
588.00	2.53739540E+7	
589.00	2.51408460E+7	
590.00	2.46303920E+7	
591.00	2.43196000E+7	
592.00	2.39868840E+7	
593.00	2.38540960E+7	
594.00	2.34073140E+7	
595.00	2.30870560E+7	
596.00	2.26100260E+7	
597.00	2.20255360E+7	
598.00	2.18850240E+7	
599.00	2.13413940E+7	
600.00	2.13052000E+7	
601.00	2.07512620E+7	
602.00	2.06208920E+7	
603.00	2.02451140E+7	
604.00	1.96492160E+7	
605.00	1.94483320E+7	
606.00	1.89693640E+7	
607.00	1.89606740E+7	
608.00	1.85778820E+7	
609.00	1.81741800E+7	
610.00	1.77022560E+7	
611.00	1.73137960E+7	
612.00	1.69690080E+7	
613.00	1.64202260E+7	
614.00	1.60478120E+7	
615.00	1.58344380E+7	
616.00	1.54553330E+7	
617.00	1.53152000E+7	
618.00	1.49735530E+7	
619.00	1.45132770E+7	
620.00	1.41020740E+7	
621.00	1.37347140E+7	
622.00	1.34650440E+7	
623.00	1.31465240E+7	
624.00	1.26695100E+7	
625.00	1.25676140E+7	
626.00	1.23485020E+7	
627.00	1.21046660E+7	
628.00	1.18732080E+7	
629.00	1.15654370E+7	
630.00	1.11182900E+7	
631.00	1.08965130E+7	
632.00	1.07785830E+7	
633.00	1.03609110E+7	
634.00	1.02461590E+7	
635.00	9.95982000E+6	
636.00	9.63256000E+6	
637.00	9.36854200E+6	
638.00	9.21539800E+6	
639.00	8.87499400E+6	
640.00	8.83872400E+6	
641.00	8.50182000E+6	
642.00	7.96735100E+6	
643.00	7.88820400E+6	
644.00	7.71474200E+6	
645.00	7.47164800E+6	
646.00	7.43977200E+6	
647.00	7.09353500E+6	
648.00	7.21282350E+6	
649.00	6.75675800E+6	
650.00	6.76434800E+6	
651.00	6.31940800E+6	
652.00	6.21902550E+6	
653.00	6.18072900E+6	
654.00	6.06096400E+6	
655.00	5.75807050E+6	
656.00	5.71306300E+6	
657.00	5.50918800E+6	
658.00	5.36556100E+6	
659.00	5.26754100E+6	
660.00	5.13549800E+6	
661.00	4.94808200E+6	
662.00	4.86162950E+6	
663.00	4.71810900E+6	
664.00	4.58988600E+6	
665.00	4.48867100E+6	
666.00	4.39412000E+6	
667.00	4.42617900E+6	
668.00	4.22300900E+6	
669.00	4.03936500E+6	
670.00	4.09569250E+6	
671.00	3.86927750E+6	
672.00	3.81916650E+6	
673.00	3.68715525E+6	
674.00	3.55691250E+6	
675.00	3.54193625E+6	
676.00	3.44622250E+6	
677.00	3.17056375E+6	
678.00	3.20926800E+6	
679.00	2.97942150E+6	
680.00	3.00422300E+6	
681.00	3.03830450E+6	
682.00	2.83462400E+6	
683.00	2.79153950E+6	
684.00	2.80942175E+6	
685.00	2.60553400E+6	
686.00	2.53037900E+6	
687.00	2.52764950E+6	
688.00	2.74386200E+6	
689.00	2.56689275E+6	
690.00	2.24461175E+6	
691.00	2.42866600E+6	
692.00	2.29878450E+6	
693.00	2.16736750E+6	
694.00	2.16620150E+6	
695.00	2.09562750E+6	
696.00	2.01133475E+6	
697.00	1.96658388E+6	
698.00	1.97443838E+6	
699.00	1.99682900E+6	
700.00	1.93706500E+6	
701.00	1.82658625E+6	
702.00	1.89299388E+6	
703.00	1.63262925E+6	
704.00	1.70151725E+6	
705.00	1.85474825E+6	
706.00	1.66970525E+6	
707.00	1.62278263E+6	
708.00	1.61174250E+6	
709.00	1.45795775E+6	
710.00	1.39085500E+6	
711.00	1.35962963E+6	
712.00	1.27562525E+6	
713.00	1.35333338E+6	
714.00	1.04815613E+6	
715.00	1.24833388E+6	
716.00	1.09716750E+6	
717.00	1.03610975E+6	
718.00	1.15786075E+6	
719.00	1.05552388E+6	
720.00	1.13362513E+6	
721.00	9.27820625E+5	
722.00	9.54875250E+5	
723.00	9.74508625E+5	
724.00	8.17892188E+5	
725.00	8.96603500E+5	
726.00	6.91588625E+5	
727.00	9.34059688E+5	
728.00	7.61638875E+5	
729.00	7.24871938E+5	
730.00	7.91434500E+5	
731.00	7.76969813E+5	
732.00	7.60805750E+5	
733.00	6.60050625E+5	
734.00	6.83809625E+5	
735.00	7.26102375E+5	
736.00	5.90617625E+5	
737.00	5.83598625E+5	
738.00	5.76958563E+5	
739.00	6.30086563E+5	
740.00	5.19875250E+5	
741.00	4.02362813E+5	
742.00	4.63415719E+5	
743.00	5.63560875E+5	
744.00	5.16907219E+5	
745.00	6.23341625E+5	
746.00	4.89388938E+5	
747.00	3.73960094E+5	
748.00	5.33677875E+5	
749.00	4.44221281E+5	
750.00	3.84041781E+5	
