Labels	Em550-Sample-2-Group-A	
Type	Excitation Scan	
Comment		
Start	280.00	
Stop	530.00	
Step	1.00	
Fixed/Offset	550.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.250	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.00	
Detector	Visible PMT	

280.00	5.79671063E+5	
281.00	4.66452000E+5	
282.00	5.07103188E+5	
283.00	4.94399844E+5	
284.00	5.14215281E+5	
285.00	5.45450500E+5	
286.00	4.74068188E+5	
287.00	4.28589281E+5	
288.00	4.39468531E+5	
289.00	3.87090875E+5	
290.00	4.40307813E+5	
291.00	3.01062125E+5	
292.00	3.87968875E+5	
293.00	2.62059500E+5	
294.00	2.66462250E+5	
295.00	2.56150547E+5	
296.00	3.16092094E+5	
297.00	2.36030438E+5	
298.00	2.45256016E+5	
299.00	2.40573156E+5	
300.00	2.17708094E+5	
301.00	1.60852344E+5	
302.00	2.11836594E+5	
303.00	1.44518922E+5	
304.00	1.49354063E+5	
305.00	1.15751484E+5	
306.00	1.41098156E+5	
307.00	1.24416453E+5	
308.00	1.17812078E+5	
309.00	1.67674766E+5	
310.00	1.85844844E+5	
311.00	2.31225219E+5	
312.00	1.91301984E+5	
313.00	2.24311156E+5	
314.00	3.03716656E+5	
315.00	3.52414375E+5	
316.00	4.31650906E+5	
317.00	5.62191875E+5	
318.00	7.17695875E+5	
319.00	8.66290375E+5	
320.00	1.04356731E+6	
321.00	1.31087988E+6	
322.00	1.55491713E+6	
323.00	2.09692400E+6	
324.00	2.37312025E+6	
325.00	3.00652200E+6	
326.00	3.54460250E+6	
327.00	4.08586550E+6	
328.00	4.75749550E+6	
329.00	5.64592300E+6	
330.00	6.40177900E+6	
331.00	7.08189700E+6	
332.00	7.69116600E+6	
333.00	8.56870000E+6	
334.00	9.38117600E+6	
335.00	1.00496900E+7	
336.00	1.08828140E+7	
337.00	1.14249580E+7	
338.00	1.21611500E+7	
339.00	1.27582280E+7	
340.00	1.29008940E+7	
341.00	1.32810500E+7	
342.00	1.32849370E+7	
343.00	1.34594140E+7	
344.00	1.35541900E+7	
345.00	1.35672120E+7	
346.00	1.32714360E+7	
347.00	1.30171480E+7	
348.00	1.27048680E+7	
349.00	1.20590700E+7	
350.00	1.14251000E+7	
351.00	1.07766670E+7	
352.00	9.81596200E+6	
353.00	8.85081000E+6	
354.00	7.84713850E+6	
355.00	6.77677250E+6	
356.00	5.75646200E+6	
357.00	4.81718300E+6	
358.00	3.87971375E+6	
359.00	3.21896250E+6	
360.00	2.47716925E+6	
361.00	1.97400138E+6	
362.00	1.49570375E+6	
363.00	1.11187313E+6	
364.00	8.19145750E+5	
365.00	5.72704813E+5	
366.00	4.61171063E+5	
367.00	3.26976063E+5	
368.00	2.21853094E+5	
369.00	1.62642422E+5	
370.00	1.25387422E+5	
371.00	1.07357359E+5	
372.00	6.17363516E+4	
373.00	4.62585508E+4	
374.00	4.70123203E+4	
375.00	3.85296250E+4	
376.00	2.90234297E+4	
377.00	1.87584219E+4	
378.00	1.74222031E+4	
379.00	2.10902148E+4	
380.00	1.73376660E+4	
381.00	3.74095234E+4	
382.00	3.56392344E+4	
383.00	3.76339375E+4	
384.00	6.12964063E+4	
385.00	5.84831211E+4	
386.00	6.85868203E+4	
387.00	1.11681219E+5	
388.00	1.50551063E+5	
389.00	2.13314813E+5	
390.00	2.65000750E+5	
391.00	3.30905094E+5	
392.00	4.51456438E+5	
393.00	5.68631938E+5	
394.00	7.49479125E+5	
395.00	9.43713375E+5	
396.00	1.21738775E+6	
397.00	1.53168500E+6	
398.00	1.89549988E+6	
399.00	2.42890675E+6	
400.00	3.01454900E+6	
401.00	3.59613250E+6	
402.00	4.32066700E+6	
403.00	5.18779400E+6	
404.00	6.21421600E+6	
405.00	7.21674800E+6	
406.00	8.42373700E+6	
407.00	9.58273600E+6	
408.00	1.08249680E+7	
409.00	1.22797540E+7	
410.00	1.32276200E+7	
411.00	1.46507380E+7	
412.00	1.60313940E+7	
413.00	1.73287800E+7	
414.00	1.85326080E+7	
415.00	1.93793160E+7	
416.00	2.02098080E+7	
417.00	2.13415040E+7	
418.00	2.21449020E+7	
419.00	2.30670440E+7	
420.00	2.35974900E+7	
421.00	2.43365640E+7	
422.00	2.48348200E+7	
423.00	2.56449780E+7	
424.00	2.58835440E+7	
425.00	2.65871060E+7	
426.00	2.69723640E+7	
427.00	2.72872600E+7	
428.00	2.74963640E+7	
429.00	2.75061160E+7	
430.00	2.81631280E+7	
431.00	2.80609120E+7	
432.00	2.82333560E+7	
433.00	2.82531060E+7	
434.00	2.88281280E+7	
435.00	2.85890200E+7	
436.00	2.87826960E+7	
437.00	2.92603800E+7	
438.00	2.92509280E+7	
439.00	2.90175880E+7	
440.00	2.92587360E+7	
441.00	2.91376760E+7	
442.00	2.95333160E+7	
443.00	2.93263680E+7	
444.00	2.93732400E+7	
445.00	2.95498200E+7	
446.00	2.94228160E+7	
447.00	2.92354400E+7	
448.00	2.88641560E+7	
449.00	2.95311360E+7	
450.00	2.93617940E+7	
451.00	3.02822160E+7	
452.00	2.93684300E+7	
453.00	2.99754880E+7	
454.00	2.91824000E+7	
455.00	2.91342080E+7	
456.00	2.92137800E+7	
457.00	2.91447160E+7	
458.00	2.91076600E+7	
459.00	2.94778560E+7	
460.00	2.90483700E+7	
461.00	2.89011380E+7	
462.00	2.87647600E+7	
463.00	2.89994840E+7	
464.00	2.92419280E+7	
465.00	2.92008920E+7	
466.00	2.86204400E+7	
467.00	2.84838860E+7	
468.00	2.91750480E+7	
469.00	2.89234600E+7	
470.00	2.86602960E+7	
471.00	2.84150520E+7	
472.00	2.81948780E+7	
473.00	2.81158640E+7	
474.00	2.87835120E+7	
475.00	2.80778100E+7	
476.00	2.80256840E+7	
477.00	2.76532040E+7	
478.00	2.76742120E+7	
479.00	2.76013500E+7	
480.00	2.71201660E+7	
481.00	2.67356280E+7	
482.00	2.70151600E+7	
483.00	2.62257620E+7	
