Labels	Ex550-Sample-4-Group-A	
Type	Excitation Scan	
Comment		
Start	210.00	
Stop	520.00	
Step	1.00	
Fixed/Offset	550.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	1.00	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.200	
Detector	Visible PMT	

210.00	-3.03982656E+5	
211.00	1.36278363E+6	
212.00	-3.92073500E+5	
213.00	0.00000000E+0	
214.00	-2.10718675E+6	
215.00	-9.37075813E+5	
216.00	-4.88521150E+6	
217.00	-1.23767219E+5	
218.00	-5.80814500E+5	
219.00	-9.81352000E+5	
220.00	-1.74536406E+5	
221.00	-3.04326156E+5	
222.00	-2.15350469E+5	
223.00	-4.07123938E+5	
224.00	-3.13383469E+5	
225.00	-6.14095000E+4	
226.00	-1.81662422E+5	
227.00	-9.69871094E+4	
228.00	-2.41015469E+4	
229.00	-2.85416328E+4	
230.00	-7.44828594E+4	
231.00	-6.51690039E+4	
232.00	3.77125195E+3	
233.00	1.11549531E+4	
234.00	-2.91475488E+3	
235.00	3.53223906E+4	
236.00	-1.14301133E+4	
237.00	-2.91840156E+4	
238.00	9.20315430E+3	
239.00	-7.27677539E+3	
240.00	-3.63985313E+4	
241.00	1.11891094E+4	
242.00	1.90399844E+4	
243.00	2.30344531E+4	
244.00	1.90761016E+4	
245.00	-3.39483252E+3	
246.00	-4.13896191E+3	
247.00	7.90065527E+3	
248.00	-2.59312012E+3	
249.00	-7.52758838E+3	
250.00	1.21946748E+4	
251.00	1.37959111E+4	
252.00	-7.05015234E+3	
253.00	-8.10069238E+3	
254.00	-3.16338184E+3	
255.00	-2.43475391E+3	
256.00	-7.07685547E+1	
257.00	2.81311353E+3	
258.00	4.69638379E+3	
259.00	1.04298301E+4	
260.00	5.05075195E+2	
261.00	-1.32565564E+3	
262.00	4.63767334E+3	
263.00	6.80806445E+3	
264.00	9.09037598E+3	
265.00	1.23474775E+4	
266.00	2.15820850E+3	
267.00	-3.26152295E+3	
268.00	7.64212354E+3	
269.00	1.00207197E+4	
270.00	5.00325977E+3	
271.00	5.30398779E+3	
272.00	1.05467920E+3	
273.00	5.91296875E+3	
274.00	4.44934717E+3	
275.00	-1.16377100E+3	
276.00	4.37189502E+3	
277.00	6.19543359E+3	
278.00	2.35492212E+3	
279.00	3.08479443E+3	
280.00	9.22205469E+3	
281.00	2.10351074E+3	
282.00	7.12995117E+3	
283.00	5.37113281E+2	
284.00	4.63093457E+3	
285.00	2.35826709E+3	
286.00	3.56627930E+3	
287.00	2.67712451E+3	
288.00	4.92891260E+3	
289.00	1.18769189E+3	
290.00	9.28686523E+0	
291.00	2.74718726E+3	
292.00	-1.17594727E+2	
293.00	4.20005371E+3	
294.00	-3.70883362E+2	
295.00	7.55733765E+2	
296.00	3.03716797E+3	
297.00	1.43181396E+3	
298.00	9.54584900E+2	
299.00	-7.79409302E+2	
300.00	-1.77281506E+3	
301.00	-1.85445544E+3	
302.00	5.52220886E+2	
303.00	8.57941833E+2	
304.00	2.10480286E+2	
305.00	1.06313843E+2	
306.00	-6.98357849E+2	
307.00	-2.17172900E+3	
308.00	-6.78545166E+2	
309.00	1.12175415E+2	
310.00	-1.59714319E+3	
311.00	-4.62593414E+2	
312.00	2.82708740E+0	
313.00	-1.32963550E+3	
314.00	4.39697510E+3	
315.00	8.73490112E+2	
316.00	3.95187720E+3	
317.00	6.23375732E+3	
318.00	8.33397461E+3	
319.00	1.13144990E+4	
320.00	1.23742637E+4	
321.00	1.71257461E+4	
322.00	2.13137754E+4	
323.00	2.62874375E+4	
324.00	3.76862031E+4	
325.00	4.30895391E+4	
326.00	5.63029766E+4	
327.00	6.23080391E+4	
328.00	7.79438047E+4	
329.00	9.72842813E+4	
330.00	1.18025578E+5	
331.00	1.28044609E+5	
332.00	1.51537359E+5	
333.00	1.61545469E+5	
334.00	1.94808078E+5	
335.00	2.13047250E+5	
336.00	2.37201641E+5	
337.00	2.53549281E+5	
338.00	2.76455813E+5	
339.00	2.98623406E+5	
340.00	3.06063625E+5	
341.00	3.25668063E+5	
342.00	3.36450125E+5	
343.00	3.42796750E+5	
344.00	3.53851781E+5	
345.00	3.60214375E+5	
346.00	3.63112875E+5	
347.00	3.60546906E+5	
348.00	3.55763281E+5	
349.00	3.46343500E+5	
350.00	3.44521688E+5	
351.00	3.27953375E+5	
352.00	3.18540188E+5	
353.00	2.91858156E+5	
354.00	2.68456344E+5	
355.00	2.55729750E+5	
356.00	2.22999375E+5	
357.00	2.00299063E+5	
358.00	1.70793281E+5	
359.00	1.44925813E+5	
360.00	1.17031688E+5	
361.00	9.37280313E+4	
362.00	7.55935313E+4	
363.00	6.24897109E+4	
364.00	4.73401758E+4	
365.00	3.70122188E+4	
366.00	2.78775469E+4	
367.00	2.16380996E+4	
368.00	1.66133359E+4	
369.00	1.10284922E+4	
370.00	8.21909668E+3	
371.00	5.94011768E+3	
372.00	4.20936865E+3	
373.00	2.63493115E+3	
374.00	2.66135083E+3	
375.00	1.07282129E+3	
376.00	3.58239380E+2	
377.00	6.64159424E+2	
378.00	2.52811646E+2	
379.00	8.93204956E+2	
380.00	1.25980042E+2	
381.00	7.47161255E+2	
382.00	8.59690796E+2	
383.00	9.20064087E+2	
384.00	1.56852014E+3	
385.00	1.41912964E+3	
386.00	2.85985107E+3	
387.00	3.95130615E+3	
388.00	5.37148047E+3	
389.00	7.83883398E+3	
390.00	1.05827402E+4	
391.00	1.51283008E+4	
392.00	1.84061230E+4	
393.00	2.32345313E+4	
394.00	3.22901406E+4	
395.00	4.37885938E+4	
396.00	5.46057344E+4	
397.00	6.97163281E+4	
398.00	8.91631875E+4	
399.00	1.07088406E+5	
400.00	1.36316969E+5	
401.00	1.63913516E+5	
402.00	2.03664203E+5	
403.00	2.36659219E+5	
404.00	2.82815938E+5	
405.00	3.27775188E+5	
406.00	3.77854781E+5	
407.00	4.31282563E+5	
408.00	4.80284438E+5	
409.00	5.31356250E+5	
410.00	5.91490500E+5	
