Labels	Ex550-Sample-4-Group-A	
411.00	6.31890125E+5	
412.00	6.90216625E+5	
413.00	7.40858000E+5	
414.00	7.84916625E+5	
415.00	8.29659250E+5	
416.00	8.66828563E+5	
417.00	9.16886188E+5	
418.00	9.38337750E+5	
419.00	9.73686875E+5	
420.00	1.00521800E+6	
421.00	1.04022238E+6	
422.00	1.05929513E+6	
423.00	1.08016188E+6	
424.00	1.10304675E+6	
425.00	1.12115688E+6	
426.00	1.13099075E+6	
427.00	1.15501525E+6	
428.00	1.15965213E+6	
429.00	1.16791275E+6	
430.00	1.17824400E+6	
431.00	1.19257738E+6	
432.00	1.19531450E+6	
433.00	1.22137825E+6	
434.00	1.21571588E+6	
435.00	1.22510513E+6	
436.00	1.23174425E+6	
437.00	1.24263838E+6	
438.00	1.23674488E+6	
439.00	1.24217175E+6	
440.00	1.23623713E+6	
441.00	1.23747750E+6	
442.00	1.24401700E+6	
443.00	1.23723250E+6	
444.00	1.24491450E+6	
445.00	1.24897650E+6	
446.00	1.24069013E+6	
447.00	1.24528325E+6	
448.00	1.25313150E+6	
449.00	1.24217675E+6	
450.00	1.23292450E+6	
451.00	1.24887888E+6	
452.00	1.24226250E+6	
453.00	1.23033313E+6	
454.00	1.23413400E+6	
455.00	1.22364750E+6	
456.00	1.22716463E+6	
457.00	1.22425750E+6	
458.00	1.21498813E+6	
459.00	1.21695875E+6	
460.00	1.21003725E+6	
461.00	1.19624775E+6	
462.00	1.20361475E+6	
463.00	1.20742475E+6	
464.00	1.19378225E+6	
465.00	1.19446500E+6	
466.00	1.17773063E+6	
467.00	1.18227413E+6	
468.00	1.16797300E+6	
469.00	1.15766950E+6	
470.00	1.14446675E+6	
471.00	1.12721438E+6	
472.00	1.12158850E+6	
473.00	1.10887388E+6	
474.00	1.10468275E+6	
475.00	1.06970975E+6	
476.00	1.08134788E+6	
477.00	1.05026463E+6	
478.00	1.02495025E+6	
479.00	1.01874288E+6	
480.00	1.00510938E+6	
481.00	9.84115500E+5	
482.00	9.64749188E+5	
483.00	9.36766625E+5	
484.00	9.13133125E+5	
485.00	8.86436000E+5	
486.00	8.59105875E+5	
487.00	8.29055500E+5	
488.00	8.05531000E+5	
489.00	7.72827375E+5	
490.00	7.43977625E+5	
491.00	7.22356500E+5	
492.00	6.91151563E+5	
493.00	6.65207813E+5	
494.00	6.24851250E+5	
495.00	5.94321375E+5	
496.00	5.77289750E+5	
497.00	5.33482313E+5	
498.00	5.02935188E+5	
499.00	4.86232625E+5	
500.00	4.52415000E+5	
501.00	4.14557281E+5	
502.00	3.91477000E+5	
503.00	3.66409344E+5	
504.00	3.35418906E+5	
505.00	3.12584719E+5	
506.00	2.82467688E+5	
507.00	2.65972688E+5	
508.00	2.41945500E+5	
509.00	2.24568281E+5	
510.00	2.05002281E+5	
511.00	1.82089516E+5	
512.00	1.62451500E+5	
513.00	1.52123813E+5	
514.00	1.38354000E+5	
515.00	1.23844484E+5	
516.00	1.10750391E+5	
517.00	9.88376250E+4	
518.00	8.54565000E+4	
519.00	8.04364844E+4	
520.00	6.82442344E+4	
