Labels	Ex521-Sample-5-Group-A	
Type	Excitation Scan	
Comment		
Start	210.00	
Stop	510.00	
Step	1.00	
Fixed/Offset	521.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.19999765	
Detector	Visible PMT	

419.00	1.07093575E+6	
420.00	1.10050700E+6	
421.00	1.12631863E+6	
422.00	1.15334763E+6	
423.00	1.16601775E+6	
424.00	1.20191063E+6	
425.00	1.21685188E+6	
426.00	1.22984225E+6	
427.00	1.24845050E+6	
428.00	1.25866738E+6	
429.00	1.27078475E+6	
430.00	1.28200975E+6	
431.00	1.29844375E+6	
432.00	1.31699750E+6	
433.00	1.30887463E+6	
434.00	1.33079313E+6	
435.00	1.32256813E+6	
436.00	1.34031575E+6	
437.00	1.33937425E+6	
438.00	1.34422975E+6	
439.00	1.35930638E+6	
440.00	1.35656950E+6	
441.00	1.35792650E+6	
442.00	1.36112150E+6	
443.00	1.36215263E+6	
444.00	1.36846375E+6	
445.00	1.35790300E+6	
446.00	1.36548275E+6	
447.00	1.35448375E+6	
448.00	1.34952700E+6	
449.00	1.34614350E+6	
450.00	1.34441675E+6	
451.00	1.35704950E+6	
452.00	1.33219750E+6	
453.00	1.33995863E+6	
454.00	1.33027138E+6	
455.00	1.31420600E+6	
456.00	1.31695150E+6	
457.00	1.30459650E+6	
458.00	1.29147700E+6	
459.00	1.29297450E+6	
460.00	1.26591600E+6	
461.00	1.26138000E+6	
462.00	1.25361538E+6	
463.00	1.23484800E+6	
464.00	1.22051388E+6	
465.00	1.18617775E+6	
466.00	1.17157250E+6	
467.00	1.16022150E+6	
468.00	1.13515338E+6	
469.00	1.11070200E+6	
470.00	1.08137000E+6	
471.00	1.06520600E+6	
472.00	1.02676356E+6	
473.00	9.91398813E+5	
474.00	9.76908125E+5	
475.00	9.27847750E+5	
476.00	9.09445750E+5	
477.00	8.67888500E+5	
478.00	8.30793375E+5	
